HS6,China,Japan,Korea,Uae,Veitnam
71290,30.0,0.0,0.0,26.57,0.0
71310,10.0,0.0,0.0,0.0,0.0
71320,10.0,0.0,2.5,0.0,0.0
71331,0.0,0.0,0.0,0.0,0.0
71332,0.0,0.0,0.0,0.0,0.0
71333,0.0,0.0,0.0,0.0,0.0
71334,0.0,0.0,0.0,0.0,0.0
71335,0.0,0.0,0.0,0.0,0.0
71339,0.0,0.0,0.0,0.0,0.0
71340,0.0,0.0,0.0,0.0,0.0
71350,0.0,0.0,0.0,0.0,0.0
71360,10.0,0.0,0.0,9.0,0.0
71390,0.0,0.0,0.0,0.0,0.0
71410,30.0,0.0,0.0,24.0,0.0
71420,30.0,0.0,0.0,24.0,0.0
71430,30.0,0.0,0.0,0.0,0.0
71440,30.0,0.0,0.0,0.0,0.0
71450,30.0,0.0,0.0,0.0,0.0
71490,30.0,0.0,0.0,24.0,0.0
80111,70.0,0.0,0.0,0.0,0.0
80112,70.0,0.0,0.0,0.0,0.0
80119,70.0,0.0,0.0,0.0,0.0
80121,30.0,0.0,0.0,0.0,0.0
80122,30.0,0.0,0.0,0.0,0.0
80131,2.5,0.0,0.0,0.0,0.0
80132,30.0,0.0,0.0,0.0,0.0
80211,0.0,0.0,0.0,0.0,0.0
80221,10.0,0.0,0.0,0.0,0.0
80222,10.0,0.0,0.0,9.5,0.0
80231,100.0,0.0,0.0,0.0,0.0
80232,100.0,0.0,0.0,0.0,0.0
80241,30.0,0.0,0.0,0.0,0.0
80242,30.0,0.0,0.0,0.0,0.0
80251,10.0,0.0,0.0,9.0,0.0
80252,10.0,0.0,0.0,9.0,0.0
80261,30.0,0.0,0.0,27.0,0.0
80262,30.0,0.0,0.0,27.0,0.0
80270,30.0,0.0,0.0,27.0,0.0
80280,100.0,0.0,0.0,0.0,0.0
80291,30.0,0.0,0.0,0.0,0.0
80292,30.0,0.0,0.0,0.0,0.0
80299,30.0,0.0,0.0,0.0,0.0
80310,30.0,0.0,0.0,27.0,0.0
80390,30.0,0.0,0.0,27.0,0.0
80410,25.0,0.0,0.0,0.0,0.0
80420,30.0,0.0,0.0,0.0,0.0
80430,30.0,0.0,0.0,24.0,0.0
80440,30.0,0.0,0.0,24.0,0.0
80450,30.0,0.0,15.0,24.0,0.0
80510,30.0,0.0,0.0,0.0,0.0
80521,30.0,0.0,0.0,0.0,5.0
80522,30.0,0.0,0.0,0.0,5.0
80529,30.0,0.0,0.0,24.0,5.0
80540,25.0,0.0,12.5,20.0,0.0
80550,30.0,0.0,0.0,29.0,0.0
80590,30.0,0.0,15.0,27.0,0.0
80610,30.0,0.0,0.0,0.0,0.0
80620,105.0,0.0,0.0,0.0,0.0
80711,30.0,0.0,0.0,0.0,0.0
80719,30.0,0.0,0.0,27.0,0.0
80720,30.0,0.0,15.0,27.0,0.0
80810,15.0,0.0,0.0,0.0,0.0
80830,30.0,0.0,0.0,0.0,0.0
80840,30.0,0.0,0.0,0.0,0.0
80910,30.0,0.0,15.0,0.0,0.0
80921,30.0,0.0,15.0,24.0,0.0
80929,30.0,0.0,15.0,24.0,0.0
80930,30.0,0.0,0.0,24.0,0.0
80940,25.0,0.0,0.0,20.0,0.0
81010,30.0,0.0,15.0,24.0,0.0
81020,30.0,0.0,15.0,24.0,0.0
81030,30.0,0.0,15.0,24.0,0.0
81040,30.0,0.0,15.0,24.0,0.0
81050,30.0,0.0,15.0,24.0,0.0
81060,30.0,0.0,7.5,14.0,0.0
81070,30.0,0.0,7.5,24.0,0.0
81090,30.0,0.0,8.57,14.0,0.0
81110,30.0,0.0,15.0,24.0,0.0
81120,30.0,0.0,15.0,24.0,0.0
81190,30.0,0.0,15.0,24.0,0.0
81210,30.0,0.0,15.0,24.0,0.0
81290,30.0,0.0,15.0,24.0,0.0
81310,30.0,0.0,15.0,24.0,0.0
81320,25.0,0.0,0.0,20.0,0.0
81330,30.0,0.0,0.0,24.0,0.0
81340,30.0,0.0,15.0,25.5,0.0
81350,30.0,0.0,0.0,0.0,0.0
81400,30.0,0.0,15.0,24.0,0.0
90111,100.0,0.0,50.0,0.0,45.0
90112,100.0,0.0,50.0,0.0,0.0
90121,100.0,0.0,50.0,0.0,0.0
90122,100.0,0.0,50.0,0.0,0.0
90190,100.0,0.0,50.0,0.0,0.0
90210,100.0,0.0,50.0,0.0,0.0
90220,100.0,0.0,51.0,0.0,0.0
90230,100.0,0.0,50.0,0.0,0.0
90240,100.0,0.0,50.0,0.0,45.0
90300,30.0,0.0,15.0,27.0,0.0
90411,65.56,0.0,0.0,0.0,50.0
90412,70.0,0.0,0.0,0.0,0.0
90421,70.0,0.0,0.0,0.0,0.0
90422,70.0,0.0,0.0,0.0,0.0
90510,30.0,0.0,15.0,0.0,0.0
90520,30.0,0.0,15.0,0.0,0.0
90611,30.0,0.0,0.0,27.0,0.0
90619,30.0,0.0,0.0,27.0,0.0
90620,30.0,0.0,0.0,27.0,0.0
90710,35.0,0.0,17.5,33.0,5.0
90720,35.0,0.0,17.5,33.0,5.0
90811,30.0,0.0,0.0,0.0,0.0
90812,30.0,0.0,0.0,0.0,0.0
90821,30.0,0.0,0.0,27.0,5.0
90822,30.0,0.0,0.0,27.0,5.0
90831,70.0,0.0,0.0,0.0,0.0
90832,70.0,0.0,0.0,0.0,0.0
90921,30.0,0.0,0.0,0.0,0.0
90922,30.0,0.0,0.0,0.0,0.0
90931,30.0,0.0,0.0,0.0,0.0
90932,30.0,0.0,0.0,0.0,0.0
90961,30.0,0.0,15.0,27.0,0.0
90962,30.0,0.0,16.5,27.0,0.0
91011,30.0,0.0,0.0,0.0,0.0
91012,30.0,0.0,0.0,0.0,0.0
91020,30.0,0.0,0.0,27.0,0.0
91030,30.0,0.0,0.0,0.0,0.0
91091,30.0,0.0,0.0,0.0,0.0
91099,30.0,0.0,0.0,27.0,0.0
100111,100.0,0.0,0.0,0.0,0.0
100119,40.0,0.0,0.0,0.0,0.0
100191,100.0,0.0,0.0,0.0,0.0
100199,70.0,0.0,0.0,0.0,0.0
100210,0.0,0.0,0.0,0.0,0.0
100290,0.0,0.0,0.0,0.0,0.0
100310,0.0,0.0,0.0,0.0,0.0
100390,0.0,0.0,0.0,0.0,0.0
100410,0.0,0.0,0.0,0.0,0.0
100490,0.0,0.0,0.0,0.0,0.0
100510,50.0,0.0,0.0,45.0,0.0
100590,50.0,0.0,0.0,45.0,0.0
100610,80.0,0.0,0.0,72.0,0.0
100620,80.0,0.0,0.0,72.0,0.0
100630,70.0,0.0,0.0,63.0,0.0
100640,80.0,0.0,0.0,72.0,0.0
100710,50.0,0.0,0.0,45.0,0.0
100790,50.0,0.0,0.0,45.0,0.0
100810,0.0,0.0,0.0,0.0,0.0
100821,50.0,0.0,0.0,45.0,0.0
100829,50.0,0.0,0.0,45.0,0.0
100830,0.0,0.0,0.0,0.0,0.0
100840,0.0,0.0,0.0,0.0,0.0
100850,0.0,0.0,0.0,0.0,0.0
100860,0.0,0.0,0.0,0.0,0.0
100890,0.0,0.0,0.0,0.0,0.0
110100,30.0,0.0,0.0,24.0,0.0
110220,30.0,0.0,0.0,24.0,0.0
110290,30.0,0.0,0.0,24.0,0.0
110311,30.0,0.0,0.0,24.0,0.0
110313,30.0,0.0,0.0,24.0,0.0
110319,30.0,0.0,0.0,24.0,0.0
